frame,time,intensity,motion,contrast,dynamics,color_arousal,color_valence,color_dominance,color_harmony,audio_volume,audio_brightness,audio_tempo,audio_energy,pleasure,arousal,dominance,boredom,engagement,stress_level,neural_activity,visual_engagement,cognitive_load,emotional_variability,narrative_tension,narrative_payoff,parameter
0,0.0,0.16361102600762525,0.0,0.4108307043202376,0.0,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.31580343551731205,0.6202880120701986,0.44187402313937657,0.407148808483178,0.4761336004223993,0.30412554640115685,0.326936837437666,0.5360040270106212,0.24486389443973267,0.03345744255267636,0.1963181077622082,0.15597141649759633,0.24121342122577533,0,0,0,DATA
20,0.8,0.2999070244417211,0.5,0.6764311623487553,0.0,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.19238583167590995,0.5229242516258993,0.44187402313937657,0.2915473576609067,0.3396973758764422,0.361086905648827,0.2777223515334315,0.43930523511380754,0.40181644482648454,0.05006959258068095,0.4535771088902767,0.46291075359297085,0.361562700329633,0.08087068989928724,0,0,DATA
40,1.6,0.2790031261347132,0.41182342728758164,0.6305053344816643,0.3333333333333333,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.3976455009889973,0.3486983964788481,0.44187402313937657,0.38296136963595256,0.33648053129702254,0.37268281557841054,0.30167271767343784,0.43189885785930593,0.4008156612749695,0.0519292837953365,0.42322333696549874,0.44301492981980795,0.4288552378844771,0.012921040216336518,0,0,DATA
60,2.4,0.2643311078771787,0.3169258067810457,0.6087607747457775,0.30598568847118085,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.26191476727395846,0.40883609580024277,0.44187402313937657,0.3059911658318437,0.33928023543070635,0.3334265120165927,0.2772732496011993,0.45292686170705676,0.3572012454334378,0.046263312169360415,0.36258693240337825,0.3928633455587054,0.3791566629351084,0.022151825255913398,0,0,DATA
80,3.2,0.2544980596405229,0.2567656420206971,0.5937615100856122,0.26321102458725787,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.13420627049783623,0.5443253031678821,0.44187402313937657,0.25724198029885,0.342516452308556,0.29456744585322103,0.24106968472684437,0.47397450322766743,0.31996263720024976,0.04067138236013645,0.3238065668132759,0.3580554242207929,0.3422198287956665,0.026099615971858742,0,0,DATA
100,4.0,0.2537498014251997,0.25120208673747274,0.5664533624809764,0.25006354871317443,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.24746926699852909,0.5905000202355744,0.44187402313937657,0.35037849296964263,0.3642143316422544,0.30091059818577315,0.25383671030446553,0.48165186672824056,0.31901562234971964,0.040176075614528864,0.3345971660701529,0.34617315859563935,0.3597948914069127,0.013602685747957236,0,0,DATA
120,4.8,0.2569420737044818,0.23762941808667912,0.5487523704952232,0.22729443723949402,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.36907405478305433,0.6503527956805981,0.44187402313937657,0.45345767705231743,0.3952205845163923,0.32065982532067827,0.2838742005911514,0.48728037959785697,0.32591402993164076,0.04072497696256826,0.34688219148507615,0.33379533684808443,0.38002290327084987,0.026930990098576302,0,0,DATA
140,5.6,0.26214011863425923,0.2289863004663671,0.5358109836526749,0.20913181421300764,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.33114663460638427,0.49085731956318057,0.44187402313937657,0.37905984009342314,0.39071396931753144,0.30854097476609466,0.2860122788753097,0.4910864972757183,0.3153961930318576,0.03947783822180803,0.3269967086626183,0.32567902043050195,0.3500590177171782,0.006254514679200925,0,0,DATA
160,6.4,0.26795409328854997,0.22244651718712177,0.5240413509606441,0.1931432053519531,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.3261406431486319,0.48785473251596556,0.44187402313937657,0.37465486995883196,0.3898102955182505,0.30214913655326675,0.2868233788318303,0.49383057948249187,0.30892794247433897,0.03871734139199925,0.3223086697164539,0.31909615135594727,0.3421978267051245,0.0027022039895431282,0,0,DATA
180,7.2,0.27826856958060997,0.23053164147603486,0.5376453873206504,0.18151245580572534,0.3267823648556645,0.10940125228904282,0.27235643041939,0.6950333605664487,0.30058714085172544,0.4716060294087102,0.44187402313937657,0.35189280741882084,0.38306128414439217,0.29771538675691167,0.2838665133577687,0.49267294869374023,0.30955372496746847,0.03857115116321559,0.32577400945443025,0.3273112322833036,0.3386882833964201,0.004713208881425013,0.06915949244281046,0,DATA
