frame,time,intensity,motion,contrast,dynamics,color_arousal,color_valence,color_dominance,color_harmony,audio_volume,audio_brightness,audio_tempo,audio_energy,pleasure,arousal,dominance,boredom,engagement,stress_level,neural_activity,visual_engagement,cognitive_load,emotional_variability,narrative_tension,narrative_payoff,parameter
0,0.0,0.0,0.0,0.0,0.0,0,0.589591487075041,0,1.0,0.39758141499712674,0.3306460422398192,0.47108408630979653,0.37750080316993445,0.6043607850466978,0.2292751686656862,0.23349209714939662,0.533182023143808,0.1375651011994117,0.019049152025227386,0.0755001606339869,0,0.11325024095098032,0,0,0,DATA
4,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.589591487075041,0,1.0,0.39758141499712674,0.3306460422398192,0.47108408630979653,0.37750080316993445,0.6356690205607071,0.14805771926539207,0.15353972629421558,0.5581366300869504,0.08883463155923524,0.011327822913436715,0.0755001606339869,0,0.11325024095098032,0.06415935192316148,0,0,DATA
8,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.589591487075041,0,1.0,0.16153129090134935,0.6839588296322388,0.47108408630979653,0.31825955252061616,0.6326208285785531,0.11125182180894701,0.07998348897754803,0.5780636748062499,0.0667510930853682,0.008583036444212455,0.06365191050412324,0,0.09547786575618485,0.03780344225175554,0,0,DATA
12,0.5,0.04552355664488018,0.25,0.25,0.25,0,0.589591487075041,0,1.0,0.16153129090134935,0.6839588296322388,0.47108408630979653,0.31825955252061616,0.5792063709839068,0.1702100525720135,0.06747656467797261,0.5752917882220399,0.1857679160747985,0.015040894200527486,0.22275662183309924,0.209104711328976,0.2500302214206728,0.041626537552429385,0,0,DATA
16,0.6666666666666666,0.07338269335511982,0.2086543436819172,0.30031343831260243,0.24917235018970132,0,0.589591487075041,0,1.0,0.16153129090134935,0.6839588296322388,0.47108408630979653,0.31825955252061616,0.5718646215323103,0.17632073803187026,0.06957490609725031,0.5759073202179097,0.19105225988173885,0.015852720640885196,0.22185287431043454,0.21314954265654174,0.2590271162600753,0.005183592110243653,0,0,DATA
20,0.8333333333333334,0.09221983932461873,0.1801494700889615,0.33405315035867367,0.26623056930775957,0,0.589591487075041,0,1.0,0.17911177566923947,0.5682591415024172,0.47108408630979653,0.2958559854191928,0.5709433710600531,0.16546782997250079,0.0778521109778853,0.581794399483723,0.18621780115905504,0.014908964558461992,0.21648558305608165,0.2173427579388864,0.26176060152278424,0.006683787804087228,0,0,DATA
24,1.0,0.10673186809446,0.16036080230703392,0.35955465731399533,0.24532773424597482,0,0.589591487075041,0,1.0,0.17911177566923947,0.5682591415024172,0.47108408630979653,0.2958559854191928,0.5748226161525807,0.15667113057575022,0.08338279848374247,0.5842531266358345,0.1811586244096508,0.01398873449874913,0.2165728230883432,0.21788986516050163,0.26243831395895273,0.0060688773317117695,0,0,DATA
28,1.1666666666666667,0.11823863442946622,0.1447083184402233,0.37922090612255865,0.22804770765654264,0,0.589591487075041,0,1.0,0.17911177566923947,0.5682591415024172,0.47108408630979653,0.2958559854191928,0.5792734112923692,0.14964942527401806,0.08745842566585092,0.5855385817168063,0.17703049391017261,0.013221913361494975,0.21654643257033285,0.21810209686440443,0.26270167489668617,0.0051827092078763765,0,0,DATA
32,1.3333333333333333,0.12826858849249576,0.13345999568809006,0.39567124782597146,0.21367252170295384,0,0.589591487075041,0,1.0,0.14004613887391126,0.37739118139107003,0.47108408630979653,0.2112496516290589,0.5652034675163257,0.12662605321697298,0.08258362044670073,0.6040852396333507,0.1636181689269126,0.011561879460774943,0.20042189586474127,0.21910634249182198,0.23787306998826435,0.013989373684079603,0,0,DATA
36,1.5,0.13803951354847493,0.12519956767429194,0.4093870868677435,0.20153392831285233,0,0.589591487075041,0,1.0,0.14004613887391126,0.37739118139107003,0.47108408630979653,0.2112496516290589,0.5627171742664102,0.11740612175599599,0.0831730731427113,0.6099383519887969,0.15870657252200562,0.0107813329427756,0.20181507747877225,0.22065724867102005,0.23861233937421528,0.004098559135634339,0.15164939450896098,0,DATA
40,1.6666666666666667,0.14687991279213702,0.11853840178748266,0.4205953714505867,0.1911840301392128,0.19577563316993463,0.6461668936105901,0.21987413194444444,0.8626582924836601,0.14004613887391126,0.37739118139107003,0.47108408630979653,0.2112496516290589,0.5792112449576192,0.15388789883508255,0.14677114973712796,0.5834504281036491,0.18116808239005666,0.013598402447049468,0.20316034788934959,0.22208835772251778,0.23922929592654302,0.03885797478823741,0,0,DATA
44,1.8333333333333333,0.15423939468727302,0.11199207402868555,0.4299640553120386,0.18222845545092026,0.19577563316993463,0.6461668936105901,0.21987413194444444,0.8626582924836601,0.15926540325547958,0.48571276331775787,0.47108408630979653,0.2571996112741631,0.5951836865198012,0.17264895171181724,0.17143210943356088,0.5660836808841907,0.1927320793021433,0.014677133553221724,0.21307744186616917,0.2228567706876324,0.25331933887347274,0.01979815137844988,0,0,DATA
48,2.0,0.16049990442223894,0.10696860074157868,0.4383705943047073,0.1743033397816484,0.19577563316993463,0.6461668936105901,0.21987413194444444,0.8626582924836601,0.15926540325547958,0.48571276331775787,0.47108408630979653,0.2571996112741631,0.6010303483787482,0.17687069505444775,0.1801451043868336,0.5610494782834019,0.19565399041293116,0.01481886831345515,0.21400146229685335,0.2238289334506563,0.25370848046821615,0.006260466718283407,0,0,DATA
